STT,Ten mon an,Thanh phan,Mui vi,Cach thuong thuc
1,Banh cuon,"Bot gao, thit heo, moc nhi, nam huong","Co mui thom cua bot, mem va dai","Cham vao nuoc cham pha loang voi giam, ot, toi"
2,Banh mi,"Banh mi, nhan( thit heo, ga, bo, trung, ca,...), cac loai rau, nuoc sot",Vi thom beo cua cac loai nhan hoa quyen voi nhau,An kem voi nuoc sot rieng doi voi tung loai nhan
3,Banh pia,"Vo banh lam bang bot mi, nhan dau xanh sau rieng, trung muoi","Vi ngot va beo cua nhan, mem cua vo banh",Thuong an kem khi uong tra
4,Banh tet,"Nep, nhan dau, thit heo","Ngot cua nep, mem cua nhan dau va beo cua thit heo",An nhu binh thuong hoac co the chien len
5,Banh xeo,"Bot, nhan( thit, hai san,...), gia,...","Thom thom, vua gion, vua beo",An kem voi rau cham kem nuoc mam chua ngot
6,Bun dau mam tom,"Bun, dau, cha com, mam tom, nem chua, thit luoc,rau,...","Mui thom cua cac loai cha va nem, mem va beo cua dau",Cham voi mam tom duoc pha kem voi tac va duong
7,Ca kho to,"Ca, thit ba chi, nuoc dua, gia vi an kem",Mui vi dac trung rieng va thom ngon cua ca,An kem voi com trang
8,Com tam,"Com, suon heo, bi heo, cha, trung op la",Mui vi hoa quyen cua cac loai do an kem,An kem voi nuoc mam toi ot pha keo
9,Nem,"Bi heo, thit nac heo, toi, tieu hat",Mui vi dac trung thom nong cua tieu,"An kem voi tuong, an song hoac chien len"
10,Pho,"Xuong ninh, gia vi nau pho, banh pho, rau an kem",Mui vi dac trung cua cac loai gia vi nau,Dung voi cac loai rau va gia vi an kem
